date,region,state,max_demand_met_mw,shortage_max_demand_mw,energy_met_mu,drawal_schedule_mu,od_ud_mu,max_od_mw,energy_shortage_mu
2018-12-31,ER,Bihar,4362.0,0.0,76.8,70.7,0.7,460.0,0.0
2018-12-31,ER,DVC,3123.0,0.0,65.3,-31.4,2.2,396.0,0.0
2018-12-31,ER,Jharkhand,1199.0,0.0,26.1,19.0,0.8,169.0,0.0
2018-12-31,ER,Odisha,3852.0,0.0,71.5,24.5,0.9,267.0,0.0
2018-12-31,ER,Sikkim,95.0,0.0,1.4,1.7,-0.3,18.0,0.0
2018-12-31,ER,West Bengal,6363.0,0.0,110.1,21.2,0.9,309.0,0.0
2018-12-31,NER,Arunachal Pradesh,123.0,2.0,2.4,1.8,0.6,46.0,0.0
2018-12-31,NER,Assam,1361.0,31.0,23.4,17.0,1.5,76.0,0.2
2018-12-31,NER,Manipur,203.0,3.0,2.8,2.7,0.0,20.0,0.0
2018-12-31,NER,Meghalaya,338.0,0.0,6.6,6.0,-0.3,35.0,0.0
2018-12-31,NER,Mizoram,93.0,1.0,1.8,1.3,0.1,20.0,0.0
2018-12-31,NER,Nagaland,121.0,2.0,2.2,2.0,-0.1,12.0,0.0
2018-12-31,NER,Tripura,228.0,1.0,3.6,1.4,0.1,34.0,0.0
2018-12-31,NR,Chandigarh,234.0,0.0,3.7,3.4,0.3,60.0,0.0
2018-12-31,NR,Delhi,4292.0,0.0,69.0,54.1,-0.9,203.0,0.0
2018-12-31,NR,HP,1657.0,0.0,30.1,24.0,0.6,175.0,0.0
2018-12-31,NR,Haryana,6445.0,138.0,125.0,58.0,0.2,169.0,0.3
2018-12-31,NR,J&K(UT) & Ladakh(UT),2400.0,600.0,50.2,45.8,-0.7,237.0,11.9
2018-12-31,NR,Punjab,5657.0,0.0,110.9,24.0,-1.1,145.0,0.0
2018-12-31,NR,Rajasthan,12676.0,0.0,236.6,64.0,-0.3,388.0,0.0
2018-12-31,NR,UP,14125.0,0.0,291.2,109.9,0.3,262.0,2.6
2018-12-31,NR,Uttarakhand,2096.0,0.0,38.1,22.8,-0.3,94.0,0.0
2018-12-31,SR,Andhra Pradesh,8005.0,0.0,163.0,60.1,0.3,445.0,0.0
2018-12-31,SR,Karnataka,10846.0,0.0,203.1,71.0,-0.1,462.0,0.0
2018-12-31,SR,Kerala,3632.0,0.0,69.1,58.5,0.5,170.0,0.0
2018-12-31,SR,Puducherry,357.0,0.0,6.7,7.2,-0.5,19.0,0.0
2018-12-31,SR,Tamil Nadu,13631.0,0.0,279.7,136.4,-0.7,364.0,0.0
2018-12-31,SR,Telangana,8886.0,0.0,179.0,81.7,0.8,463.0,0.0
2018-12-31,WR,Chhattisgarh,3473.0,0.0,76.6,25.5,-0.4,167.0,0.0
2018-12-31,WR,DD,302.0,0.0,6.6,6.0,0.6,73.0,0.0
2018-12-31,WR,DNH,729.0,0.0,16.9,16.7,0.2,52.0,0.0
2018-12-31,WR,Essar steel,578.0,0.0,11.4,10.5,1.0,286.0,0.0
2018-12-31,WR,Goa,462.0,0.0,9.4,9.0,-0.3,31.0,0.0
