date,evening_peak_demand_nr_mw,evening_peak_demand_wr_mw,evening_peak_demand_sr_mw,evening_peak_demand_er_mw,evening_peak_demand_ner_mw,evening_peak_demand_total_mw,peak_shortage_nr_mw,peak_shortage_wr_mw,peak_shortage_sr_mw,peak_shortage_er_mw,peak_shortage_ner_mw,peak_shortage_total_mw,energy_met_nr_mu,energy_met_wr_mu,energy_met_sr_mu,energy_met_er_mu,energy_met_ner_mu,energy_met_total_mu,hydro_gen_nr_mu,hydro_gen_wr_mu,hydro_gen_sr_mu,hydro_gen_er_mu,hydro_gen_ner_mu,hydro_gen_total_mu,wind_gen_nr_mu,wind_gen_wr_mu,wind_gen_sr_mu,wind_gen_er_mu,wind_gen_ner_mu,wind_gen_total_mu,solar_gen_nr_mu,solar_gen_wr_mu,solar_gen_sr_mu,solar_gen_er_mu,solar_gen_ner_mu,solar_gen_total_mu,energy_shortage_nr_mu,energy_shortage_wr_mu,energy_shortage_sr_mu,energy_shortage_er_mu,energy_shortage_ner_mu,energy_shortage_total_mu,freq_fvi,freq_pct_below_497,freq_pct_497_498,freq_pct_498_499,freq_pct_below_499,freq_pct_499_5005,freq_pct_above_5005,gen_coal_mu,gen_lignite_mu,gen_hydro_mu,gen_nuclear_mu,gen_gas_mu,gen_res_mu,gen_total_mu,share_res_pct,share_nonfossil_pct,outage_central_mw,outage_state_mw,outage_total_mw,ie_actual_nr_mu,ie_actual_wr_mu,ie_actual_sr_mu,ie_actual_er_mu,ie_actual_ner_mu,trans_bhutan_mu,trans_nepal_mu,trans_bangladesh_mu,max_demand_met_nr_mw,max_demand_met_wr_mw,max_demand_met_sr_mw,max_demand_met_er_mw,max_demand_met_ner_mw,max_demand_met_total_mw
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,45890.0,46715.0,41005.0,18304.0,2396.0,154310.0,727.0,0.0,0.0,0.0,51.0,778.0,955.0,1083.0,901.0,351.0,43.0,3332.0,117.0,28.0,71.0,30.0,8.0,254.0,9.0,38.0,46.0,,,93.0,23.32,21.79,69.14,0.83,0.05,115.0,14.7,0.0,0.0,0.0,0.2,14.9,0.04,0.0,0.0,8.68,8.68,76.26,15.06,2587.0,92.0,254.0,80.0,125.0,273.0,3411.0,8.0,17.79,30941.0,37709.0,68650.0,143.9,-181.5,99.0,-68.9,3.9,1.7,-7.0,-12.3,,,,,,
2019-01-02,45737.0,45720.0,38540.0,17423.0,2314.0,149734.0,609.0,0.0,0.0,167.0,11.0,787.0,959.0,1073.0,878.0,346.0,42.0,3298.0,117.0,33.0,62.0,22.0,7.0,241.0,11.0,23.0,50.0,,,83.0,21.5,19.78,73.77,1.19,0.02,116.0,13.8,0.3,0.0,0.5,0.2,14.9,0.059,0.06,2.65,7.27,9.98,71.71,18.31,2581.0,90.0,241.0,75.0,122.0,266.0,3376.0,7.89,17.26,30658.0,37414.0,68071.0,156.8,-199.5,102.9,-65.4,4.4,1.4,-6.8,-14.4,,,,,,
2019-01-03,45781.0,47429.0,41507.0,17744.0,2427.0,154888.0,704.0,0.0,0.0,250.0,30.0,984.0,945.0,1092.0,896.0,345.0,42.0,3320.0,112.0,32.0,65.0,31.0,8.0,247.0,7.0,19.0,55.0,,,81.0,19.55,20.09,74.82,0.84,0.04,115.0,16.7,0.0,0.0,0.8,0.3,17.8,0.05,0.0,0.21,15.63,15.83,78.46,5.71,2611.0,94.0,247.0,76.0,124.0,261.0,3413.0,7.66,17.12,30773.0,36829.0,67601.0,158.3,-204.1,113.5,-72.2,3.8,0.9,-6.8,-14.4,,,,,,
2019-01-04,45758.0,47824.0,41563.0,16750.0,2432.0,154327.0,1203.0,0.0,33.0,0.0,29.0,1265.0,953.0,1115.0,906.0,356.0,40.0,3370.0,115.0,32.0,76.0,30.0,9.0,261.0,12.0,22.0,45.0,,,79.0,19.47,20.77,74.22,0.85,0.04,115.0,15.3,0.6,0.0,0.0,0.3,16.2,0.087,0.5,4.09,17.79,22.37,62.3,15.32,2642.0,99.0,261.0,85.0,116.0,258.0,3461.0,7.46,17.46,29838.0,39514.0,69351.0,169.5,-199.1,92.0,-68.5,3.5,1.7,-7.1,-14.5,,,,,,
2019-01-05,46268.0,47440.0,41363.0,17169.0,2439.0,154679.0,1371.0,0.0,0.0,342.0,35.0,1748.0,966.0,1118.0,921.0,359.0,42.0,3407.0,110.0,29.0,71.0,25.0,8.0,242.0,9.0,17.0,64.0,,,90.0,12.46,18.91,75.84,0.64,0.04,108.0,19.8,0.1,0.0,1.0,0.2,21.1,0.085,0.63,3.65,17.96,22.23,65.72,12.05,2663.0,96.0,242.0,87.0,130.0,267.0,3484.0,7.65,17.1,30668.0,37464.0,68131.0,187.0,-215.4,89.2,-66.0,4.0,1.6,-6.9,-11.7,,,,,,
2019-01-06,45471.0,47876.0,40840.0,18197.0,2407.0,154791.0,961.0,0.0,0.0,120.0,35.0,1116.0,941.0,1120.0,909.0,358.0,44.0,3371.0,107.0,30.0,73.0,21.0,8.0,238.0,12.0,21.0,50.0,,,83.0,16.78,19.48,72.99,0.82,0.05,110.0,11.2,0.4,0.0,0.4,0.2,12.1,0.049,0.0,0.94,6.11,7.05,68.45,24.5,2646.0,97.0,238.0,87.0,123.0,262.0,3454.0,7.59,17.02,30807.0,37347.0,68153.0,183.7,-206.3,75.1,-61.0,5.3,0.9,-6.8,-12.1,,,,,,
2019-01-07,43666.0,45357.0,37943.0,17583.0,2338.0,146887.0,568.0,0.0,0.0,108.0,27.0,703.0,903.0,1090.0,870.0,352.0,41.0,3256.0,107.0,22.0,67.0,21.0,7.0,224.0,22.0,59.0,45.0,,,125.0,16.85,20.2,71.06,0.87,0.05,109.0,11.7,0.2,0.0,0.3,0.1,12.3,0.037,0.0,0.0,4.42,4.42,67.42,28.16,2513.0,92.0,224.0,87.0,119.0,300.0,3336.0,9.0,18.35,30802.0,37939.0,68740.0,150.6,-175.5,72.1,-53.3,4.8,2.3,-6.6,-13.9,,,,,,
2019-01-08,46311.0,47989.0,40766.0,16733.0,2392.0,154191.0,516.0,193.0,0.0,106.0,42.0,857.0,935.0,1104.0,907.0,351.0,41.0,3338.0,110.0,22.0,80.0,31.0,8.0,251.0,14.0,66.0,37.0,,,117.0,20.31,20.0,70.81,0.74,0.05,112.0,12.6,0.6,0.0,0.3,0.4,13.9,0.04,0.0,0.54,6.77,7.31,71.25,21.44,2593.0,92.0,251.0,87.0,117.0,300.0,3440.0,8.71,18.54,29167.0,38079.0,67245.0,153.8,-189.3,81.6,-57.1,8.5,1.7,-7.0,-13.9,,,,,,
