date,evening_peak_demand_nr_mw,evening_peak_demand_wr_mw,evening_peak_demand_sr_mw,evening_peak_demand_er_mw,evening_peak_demand_ner_mw,evening_peak_demand_total_mw,peak_shortage_nr_mw,peak_shortage_wr_mw,peak_shortage_sr_mw,peak_shortage_er_mw,peak_shortage_ner_mw,peak_shortage_total_mw,energy_met_nr_mu,energy_met_wr_mu,energy_met_sr_mu,energy_met_er_mu,energy_met_ner_mu,energy_met_total_mu,hydro_gen_nr_mu,hydro_gen_wr_mu,hydro_gen_sr_mu,hydro_gen_er_mu,hydro_gen_ner_mu,hydro_gen_total_mu,wind_gen_nr_mu,wind_gen_wr_mu,wind_gen_sr_mu,wind_gen_er_mu,wind_gen_ner_mu,wind_gen_total_mu,solar_gen_nr_mu,solar_gen_wr_mu,solar_gen_sr_mu,solar_gen_er_mu,solar_gen_ner_mu,solar_gen_total_mu,energy_shortage_nr_mu,energy_shortage_wr_mu,energy_shortage_sr_mu,energy_shortage_er_mu,energy_shortage_ner_mu,energy_shortage_total_mu,freq_fvi,freq_pct_below_497,freq_pct_497_498,freq_pct_498_499,freq_pct_below_499,freq_pct_499_5005,freq_pct_above_5005,gen_coal_mu,gen_lignite_mu,gen_hydro_mu,gen_nuclear_mu,gen_gas_mu,gen_res_mu,gen_total_mu,share_res_pct,share_nonfossil_pct,outage_central_nr_mw,outage_central_wr_mw,outage_central_sr_mw,outage_central_er_mw,outage_central_ner_mw,outage_central_total_mw,outage_state_nr_mw,outage_state_wr_mw,outage_state_sr_mw,outage_state_er_mw,outage_state_ner_mw,outage_state_total_mw,outage_total_nr_mw,outage_total_wr_mw,outage_total_sr_mw,outage_total_er_mw,outage_total_ner_mw,outage_total_total_mw,ie_schedule_nr_mu,ie_schedule_wr_mu,ie_schedule_sr_mu,ie_schedule_er_mu,ie_schedule_ner_mu,ie_schedule_total_mu,ie_actual_nr_mu,ie_actual_wr_mu,ie_actual_sr_mu,ie_actual_er_mu,ie_actual_ner_mu,ie_actual_total_mu,ie_odud_nr_mu,ie_odud_wr_mu,ie_odud_sr_mu,ie_odud_er_mu,ie_odud_ner_mu,ie_odud_total_mu,trans_bhutan_mu,trans_nepal_mu,trans_bangladesh_mu,diversity_regional,diversity_state,max_demand_met_nr_mw,max_demand_met_wr_mw,max_demand_met_sr_mw,max_demand_met_er_mw,max_demand_met_ner_mw,max_demand_met_total_mw,trans_godda_bangladesh_mu,solar_hr_peak_mw,solar_hr_shortage_mw,nonsolar_hr_peak_mw,nonsolar_hr_shortage_mw,xb_export_bhutan_mu,xb_export_nepal_mu,xb_export_bangladesh_mu,xb_export_myanmar_mu,xb_import_bhutan_mu,xb_import_nepal_mu,xb_import_bangladesh_mu,xb_import_myanmar_mu,xb_net_bhutan_mu,xb_net_nepal_mu,xb_net_bangladesh_mu,xb_net_myanmar_mu
01-01-2019,45737,45720,38540,17423,2314,149734,609,0,0,167,11,787,959,1073,878,346,42,3298,117,33,62,22,7,241,11,23,50,,,83,21.5,19.78,73.77,1.19,0.02,116,13.8,0.3,0,0.5,0.2,14.9,0.059,0.06,2.65,7.27,9.98,71.71,18.31,2581,90,241,75,122,266,3376,7.89,17.26,4624,16846,7462,1370,356,30658,9335,13504,9710,4815,50,37414,13959,30350,17172,6185,406,68071,155,-195.9,109.3,-73.1,4.4,-0.3,156.8,-199.5,102.9,-65.4,4.4,-0.7,1.9,-3.6,-6.4,7.7,0,-0.4,1.4,-6.8,-14.4,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2019,45781,47429,41507,17744,2427,154888,704,0,0,250,30,984,945,1092,896,345,42,3320,112,32,65,31,8,247,7,19,55,,,81,19.55,20.09,74.82,0.84,0.04,115,16.7,0,0,0.8,0.3,17.8,0.05,0,0.21,15.63,15.83,78.46,5.71,2611,94,247,76,124,261,3413,7.66,17.12,5514,16006,7002,1895,356,30773,8835,13909,10110,3925,50,36829,14349,29915,17112,5820,406,67601,155.3,-198.9,118.4,-79.2,4.1,-0.3,158.3,-204.1,113.5,-72.2,3.8,-0.7,3,-5.2,-4.9,7.1,-0.3,-0.4,0.9,-6.8,-14.4,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2019,45758,47824,41563,16750,2432,154327,1203,0,33,0,29,1265,953,1115,906,356,40,3370,115,32,76,30,9,261,12,22,45,,,79,19.47,20.77,74.22,0.85,0.04,115,15.3,0.6,0,0,0.3,16.2,0.087,0.5,4.09,17.79,22.37,62.3,15.32,2642,99,261,85,116,258,3461,7.46,17.46,5514,15046,7002,1895,381,29838,10510,13909,10200,4845,50,39514,16024,28955,17202,6740,431,69351,167.1,-196.4,98.3,-74,5,0,169.5,-199.1,92,-68.5,3.5,-2.6,2.4,-2.7,-6.2,5.5,-1.5,-2.6,1.7,-7.1,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2019,46268,47440,41363,17169,2439,154679,1371,0,0,342,35,1748,966,1118,921,359,42,3407,110,29,71,25,8,242,9,17,64,,,90,12.46,18.91,75.84,0.64,0.04,108,19.8,0.1,0,1,0.2,21.1,0.085,0.63,3.65,17.96,22.23,65.72,12.05,2663,96,242,87,130,267,3484,7.65,17.1,6014,15406,6802,2090,356,30668,10050,12999,9730,4635,50,37464,16064,28405,16532,6725,406,68131,179.5,-214.3,98,-67.3,3.8,-0.2,187,-215.4,89.2,-66,4,-1.1,7.5,-1.1,-8.8,1.3,0.2,-0.9,1.6,-6.9,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2019,45471,47876,40840,18197,2407,154791,961,0,0,120,35,1116,941,1120,909,358,44,3371,107,30,73,21,8,238,12,21,50,,,83,16.78,19.48,72.99,0.82,0.05,110,11.2,0.4,0,0.4,0.2,12.1,0.049,0,0.94,6.11,7.05,68.45,24.5,2646,97,238,87,123,262,3454,7.59,17.02,4673,16531,7302,1895,406,30807,9550,13342,9730,4675,50,37347,14223,29873,17032,6570,456,68153,182.4,-195.8,77.1,-66.9,3.3,0,183.7,-206.3,75.1,-61,5.3,-3.3,1.3,-10.5,-2.1,5.9,2.1,-3.3,0.9,-6.8,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2019,43666,45357,37943,17583,2338,146887,568,0,0,108,27,703,903,1090,870,352,41,3256,107,22,67,21,7,224,22,59,45,,,125,16.85,20.2,71.06,0.87,0.05,109,11.7,0.2,0,0.3,0.1,12.3,0.037,0,0,4.42,4.42,67.42,28.16,2513,92,224,87,119,300,3336,9,18.35,3826,17141,7302,1895,638,30802,9550,14094,9570,4675,50,37939,13376,31235,16872,6570,688,68740,150.7,-167.6,74.9,-61.5,3.4,0,150.6,-175.5,72.1,-53.3,4.8,-1.3,-0.1,-7.9,-2.8,8.2,1.4,-1.3,2.3,-6.6,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2019,46311,47989,40766,16733,2392,154191,516,193,0,106,42,857,935,1104,907,351,41,3338,110,22,80,31,8,251,14,66,37,,,117,20.31,20,70.81,0.74,0.05,112,12.6,0.6,0,0.3,0.4,13.9,0.04,0,0.54,6.77,7.31,71.25,21.44,2593,92,251,87,117,300,3440,8.71,18.54,3826,16481,6802,1370,688,29167,9550,12974,10540,4965,50,38079,13376,29455,17342,6335,738,67245,158.1,-186.9,84.6,-63.8,7.8,-0.3,153.8,-189.3,81.6,-57.1,8.5,-2.5,-4.3,-2.4,-3,6.6,0.8,-2.3,1.7,-7,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2019,47177,48795,40517,17963,2357,156809,584,0,0,0,27,611,969,1118,916,349,41,3393,109,24,76,26,8,242,8,38,29,,,75,20.86,20.55,74.14,0.86,0.02,116,9.7,0.9,0,0,0.6,11.2,0.038,0,0.05,6.46,6.5,74.31,19.19,2683,91,242,87,129,261,3493,7.48,16.91,4415,17081,7552,1370,463,30881,8890,13936,9940,5175,50,37991,13305,31017,17492,6545,513,68872,161.1,-197.6,100.6,-71,6.6,-0.3,155.7,-202.3,110.8,-69.3,7.1,2,-5.3,-4.7,10.3,1.6,0.5,2.3,1.7,-7,-14,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2019,46734,48343,40753,17741,2319,155890,727,0,0,100,95,922,973,1118,911,343,41,3386,110,30,73,28,8,249,5,34,30,,,69,20.45,20,74.37,0.86,0.04,116,14.6,0.1,0,0.3,0.8,15.8,0.043,0,0.57,11.26,11.83,75.79,12.38,2669,96,249,86,130,256,3487,7.33,16.96,3730,17311,8052,1370,206,30669,9390,14106,10400,5175,50,39121,13120,31417,18452,6545,256,69789,148.8,-191.7,115.7,-76.4,3.6,-0.1,152.2,-197.7,112.6,-71.6,3.7,-0.8,3.4,-5.9,-3.1,4.8,0.1,-0.7,1.7,-6.9,-13.8,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2019,46246,48500,41883,18063,2449,157141,762,0,0,0,26,788,973,1125,925,352,42,3417,113,31,78,28,8,257,9,23,43,,,75,19.46,20.2,73.53,0.89,0.04,114,15.1,0.3,0,0,0.8,16.2,0.05,0,0.88,11.39,12.27,77.73,10,2670,92,257,87,142,260,3509,7.42,17.24,3769,16351,8052,1370,206,29748,10185,12930,9100,5175,50,37440,13954,29281,17152,6545,256,67187,154.9,-192.8,111.8,-76.5,2.2,-0.3,150.4,-193,110,-69.7,0.5,-1.8,-4.5,-0.2,-1.8,6.8,-1.7,-1.5,1.3,-6.7,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-2019,47014,47939,41791,18123,2408,157275,700,0,0,335,54,1089,983,1125,936,356,43,3442,112,26,77,30,7,253,7,20,42,,,69,16.47,19.9,70.75,0.87,0.04,108,15.3,0.6,0,1,0.5,17.4,0.064,0,1.23,19.64,20.87,69.8,9.33,2714,99,253,86,130,250,3532,7.08,16.69,3240,15191,7252,1370,206,27259,10050,12888,10030,4675,50,37693,13290,28079,17282,6045,256,64951,180.9,-203.1,107.7,-85.7,0.4,0.2,176.5,-207,105.5,-79.5,0.4,-4.1,-4.3,-3.9,-2.2,6.2,-0.1,-4.3,1.4,-6.8,-11.5,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2019,46465,48136,40903,17390,2414,155308,1559,0,0,109,39,1707,964,1123,922,355,44,3408,111,24,78,28,8,249,11,22,41,,,74,12.53,19.78,67.79,0.86,0.04,101,16.1,0,0,0.3,0.6,17,0.066,0,1.16,16.56,17.72,66.84,15.44,2698,99,249,87,128,250,3511,7.11,16.69,2989,14411,6852,1370,156,25777,9910,14456,10080,4215,50,38711,12899,28867,16932,5585,206,64488,180.1,-185.1,92.4,-88,0.6,0,174.1,-186.3,93,-85.6,0.1,-4.8,-6,-1.2,0.6,2.4,-0.6,-4.8,1.2,-6.9,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2019,43280,44986,38452,17079,2347,146144,678,0,0,20,18,716,929,1097,885,341,42,3294,108,20,62,21,7,218,18,44,49,,,112,16.71,20.06,67.79,0.39,0.05,105,12.8,0,0,0.1,0.4,13.2,0.042,0,0.19,5.41,5.59,69.63,24.78,2562,94,218,87,122,289,3371,8.58,17.61,3035,15571,7202,1370,156,27333,9250,15580,9480,4215,50,38575,12285,31151,16682,5585,206,65908,160,-180,104.7,-83.7,0,1.1,152.9,-178.2,105.4,-82.1,-0.7,-2.8,-7.2,1.8,0.7,1.5,-0.8,-4,2.2,-6.9,-14,,,,,,,,,,,,,,,,,,,,,,,,,
